time,AATP #1,AATP #2,BATP #1,BATP #2,BATP #3,GATP#1,GATP#2,PCR,PI,swinia
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2,0.986335670339104,0.986335670339104,0.9452646741087499,0.9452646741087499,0.9452646741087499,1.00098858632156,1.00098858632156,1.00087834870444,1.0169105449503602,1
3,0.9971383602804409,0.9971383602804409,0.9349567879006121,0.9349417836994359,0.9349417836994359,1.00314550193224,1.00314550193224,1.00851998243303,0.9987744187773899,1
4,0.9743883245099441,0.9743883245099441,0.95981874924979,0.95981874924979,0.95981874924979,0.996854498067763,0.996854498067763,0.99262187088274,0.9276164302161479,1
5,1.01981685505795,1.01981685505795,0.969361421197935,0.969361421197935,0.969361421197935,0.9697133099667479,0.9697133099667479,0.989108476064998,1.13785931813117,1
6,1.03927600515095,1.03927600515095,1.0634977793782299,1.0634977793782299,1.0634977793782299,0.891057787364069,0.891057787364069,0.9564339042599909,0.92251603159276,1
7,1.04964944913435,1.04964944913435,1.0591015484335602,1.05908654423239,1.05908654423239,0.882861508043498,0.882861508043498,0.95467720685112,1.07960088142811,1
8,1.10423522678495,1.10423522678495,1.06835914055936,1.06835914055936,1.06835914055936,0.886087894311135,0.886087894311135,0.9779534475186651,1.0591497685013198,1
9,0.991701244813278,0.991701244813278,0.8456367782979229,0.8456367782979229,0.8456367782979229,0.944639165992631,0.944639165992631,1.0000878348704398,0.8546138800168359,1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
2,1.0364540826240698,1.0364540826240698,0.9942172409681651,0.9942290953749301,0.9942290953749301,1.0084143939846,1.0084143939846,1.0061954030109699,1.05553743271897,2
3,1.01640045081808,1.01640045081808,1.03272922379874,1.03276538411093,1.03276538411093,1.00113385450856,1.00113385450856,1.0070627594325,0.987685532539553,2
4,1.00703431658311,1.00703431658311,0.9894479551687141,0.9894835994229101,0.9894835994229101,0.9774422629348929,0.9774422629348929,1.01691345021994,1.01533191975208,2
5,1.01402976953869,1.01402976953869,0.9836055800643849,0.9836053845878691,0.9836053845878691,1.02977859998806,1.02977859998806,1.0276934514590201,0.943076170282173,2
6,1.04103999067273,1.04103999067273,1.01430785739835,1.01433187470937,1.01433187470937,1.0576475502775,1.0576475502775,1.03128678520538,0.90751916489969,2
7,1.0126695425751,1.0126695425751,0.9846786693692622,0.984714256757562,0.984714256757562,0.994151697797935,0.994151697797935,1.02682609503748,0.8866416571521769,2
8,1.0382029458629698,1.0382029458629698,1.01472516990581,1.0147134221226,1.0147134221226,1.02315450259593,1.02315450259593,1.0365528777647,0.859647692056761,2
9,1.04620885313435,1.04620885313435,0.9997615357100269,0.9997973029367231,0.9997973029367231,1.00668377394522,1.00668377394522,1.03314540610867,0.8615234056434509,2
10,1.01675022346586,1.01675022346586,1.00143078573984,1.00146657286959,1.00146657286959,1.02637703646237,1.02637703646237,1.03630506164426,0.9571032458000329,2
11,1.03657067350667,1.03657067350667,1.0113270537737,1.01135103554353,1.01135103554353,1.0295995703288199,1.0295995703288199,1.03803977448733,0.912575436307291,2
12,1.01309704247794,1.01309704247794,0.968224633361154,0.9682600245621149,0.9682600245621149,1.02142388255654,1.02142388255654,1.0420048324143498,1.00220192464525,2
13,1.04403248999262,1.04403248999262,0.9980922856802191,0.998128033003851,0.998128033003851,1.03532851942472,1.03532851942472,1.04219069450468,0.9643614418528791,2
1,,,1.0,1.0,1.0,,,1.0,1.0,3
2,inf,inf,1.73080312555079,1.7307737500734401,1.7307737500734401,inf,inf,1.10327882741676,0.965285660234582,3
3,inf,inf,1.69540567534222,1.69537629986487,1.69537629986487,inf,inf,1.09294247225282,1.04975406734771,3
4,inf,inf,1.6373891075729998,1.63735973209565,1.63735973209565,inf,inf,1.1054816572058002,0.908333333333333,3
5,inf,inf,1.62505140708537,1.62505140708537,1.62505140708537,inf,inf,1.11098873167839,0.7682652289065459,3
6,inf,inf,1.6169731508137,1.6170025262910501,1.6170025262910501,inf,inf,1.10243158519021,0.6872682557699581,3
7,inf,inf,1.78074143704835,1.780712061571,1.780712061571,inf,inf,1.11217487079556,0.707756337495271,3
8,inf,inf,1.72698431349509,1.72701368897245,1.72701368897245,inf,inf,1.1030246547487899,0.805107832009081,3
9,inf,inf,1.6686739909523503,1.668644615475,1.668644615475,inf,inf,1.11844446327205,0.7554578130911841,3
10,inf,inf,1.6636801598026,1.6637095352799498,1.6637095352799498,inf,inf,1.11556383970177,0.7504918653045779,3
11,inf,inf,1.6744022090358999,1.67434345808119,1.67434345808119,inf,inf,1.12022367194781,0.640257283390087,3
12,inf,inf,1.6343046824510903,1.63427530697374,1.63427530697374,inf,inf,1.1253071253071298,0.9335698070374571,3
13,inf,inf,1.6218201045767,1.6218201045767,1.6218201045767,inf,inf,1.12640854020164,0.755401059402194,3
14,inf,inf,1.64869866635333,1.64869866635333,1.64869866635333,inf,inf,1.11895280860798,0.703424139235717,3
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
2,0.983407306247866,0.983407306247866,0.958286358511838,0.9582984976311719,0.9582984976311719,1.07879347851512,1.07879347851512,1.00463060197826,1.0995708154506398,4
3,0.931649026971663,0.931649026971663,0.95651292704863,0.9565250437029721,0.9565250437029721,1.06779958363547,1.06779958363547,1.00573074499685,1.17787315212208,4
4,0.8964151587572551,0.8964151587572551,0.8966976172681558,0.8967089762103821,0.8967089762103821,0.99410540104325,0.99410540104325,0.9995899466930699,0.997806390081068,4
5,0.885080232161147,0.885080232161147,0.911455100515562,0.9114793139266801,0.9114793139266801,1.0995415311922498,1.0995415311922498,1.01043135607629,1.00495946590367,4
6,0.97302833731649,0.97302833731649,0.9401846902195251,0.940209267563528,0.940209267563528,1.04771818203083,1.04771818203083,1.02223289027574,0.9529613733905579,4
7,0.997063844315466,0.997063844315466,0.919840897863015,0.91983988244534,0.91983988244534,0.984585155902786,0.984585155902786,1.0307339954194001,0.9137815927515501,4
8,0.956708774325708,0.956708774325708,0.96640614113981,0.966431050644777,0.966431050644777,1.03844354518023,1.03844354518023,1.02763359236701,1.02231759656652,4
